yr,rank,change
1976,1,3.5061818908171216
2005,2,3.2095592749022983
2020,3,3.1532749263301776
1980,4,3.126939350978499
1959,5,3.0081437764001264
1962,6,2.9753632921373465
2016,7,2.665901925205149
1997,8,2.5967609958666844
1964,9,2.121841741245406
2019,10,2.109300254058044
1954,11,2.086084044437036
1968,12,2.0762461295491184
1983,13,1.9645558810123933
1977,14,1.8359113805098215
2000,15,1.83355349203083
2004,16,1.676742119255027
1960,17,1.6034997841012142
1984,18,1.5887070852202423
2007,19,1.421493246162996
1996,20,1.4135072186316804
1969,21,1.036513029965859
1988,22,0.8174261064422458
1993,23,0.6626071334413038
1963,24,0.5643871729008504
1978,25,0.5298449246084882
2011,26,0.5223799451188976
1981,27,0.4187322421331472
1999,28,0.39832503981726963
1966,29,0.3240399675500724
1986,30,0.2045854308373782
1991,31,0.18447130129973402
2015,32,0.16184378586439296
1957,33,0.15770593543065733
1972,34,0.11158110142156509
2003,35,0.04125308874796241
1987,36,-0.015903840201324886
2001,37,-0.04777698763363506
2021,38,-0.1972226832910893
1994,39,-0.39790670421026386
1974,40,-0.5316717178143917
2024,41,-0.5819919967997136
1973,42,-0.5861533512240158
1989,43,-0.6300311375807015
2002,44,-0.6539897058382643
2010,45,-0.7669927091547494
2008,46,-0.8545151498829511
1975,47,-0.8954202369456689
1982,48,-0.9605847817184849
1970,49,-0.9725652655557904
1953,50,-0.9811802060746505
1992,51,-0.9841690018623482
1971,52,-1.1152481851985396
1955,53,-1.1342212953148652
1995,54,-1.414738581585495
2014,55,-1.5210635737726792
2013,56,-1.6937291712973557
1979,57,-1.7707790811131516
2017,58,-1.7838468447392593
1965,59,-1.8555672620287766
1998,60,-1.9915822473486873
1985,61,-2.033409022815119
2009,62,-2.0577476503297825
1961,63,-2.127485684318422
1952,64,-2.4570853498454435
1958,65,-2.5962024786073514
2018,66,-2.666282984879495
1990,67,-2.793890158946566
1956,68,-2.820648057582298
2006,69,-2.829045127776147
1950,70,-2.870882122420474
2012,71,-2.947440327996033
1951,72,-3.1345927363791106
1967,73,-3.281148124109355
2022,74,-4.192280865711834
2023,75,-6.28855517897262
