yr,rank,change
2023,1,2.1535288731502624
2015,2,1.6374883320304217
2016,3,1.4139518549193983
1987,4,1.1944314982521775
2004,5,1.111349384255201
2013,6,1.0450379926471298
2005,7,0.9640907001388173
2024,8,0.9610788603062558
2018,9,0.6888528123303972
2010,10,0.6858976602764753
1998,11,0.6850196537869964
1981,12,0.6848561912561321
2014,13,0.6221706702621344
1993,14,0.5864218299828686
2019,15,0.5684310040310919
1958,16,0.5172637385782265
2022,17,0.5080780316676882
1991,18,0.38673440143564636
1992,19,0.35910067267038603
2006,20,0.3269564515507442
1997,21,0.31342253270365844
1986,22,0.23724917843214516
2020,23,0.205248064268627
1994,24,0.1929429283428079
2003,25,0.1674552915760851
2017,26,0.16580712304854173
1989,27,0.1536074653859698
1988,28,0.1399019081688043
2021,29,0.1298636090691018
1995,30,0.04864844331552339
1999,31,-0.027582872003014385
2007,32,-0.08153054356535556
2012,33,-0.10797819443579701
1963,34,-0.11635257343499406
1953,35,-0.16834553343302258
2002,36,-0.20492056015112814
1990,37,-0.28659350505540115
2001,38,-0.313662057326546
2009,39,-0.3257837253010323
1980,40,-0.3522255278232738
1976,41,-0.4391905087813248
1977,42,-0.44067119897753393
2008,43,-0.447161137719046
1952,44,-0.4774793628849819
1979,45,-0.479205201061842
2011,46,-0.5408392256258971
1983,47,-0.5626183139276999
1978,48,-0.5630376559977287
1967,49,-0.6021845296160083
2000,50,-0.6117651755580414
1961,51,-0.7584758335683374
1984,52,-0.7977930638554448
1962,53,-0.8104606391919574
1974,54,-0.8387540297854826
1957,55,-0.8614727624832584
1969,56,-0.8934632615044068
1960,57,-0.9158122496250343
1970,58,-0.9415731455963056
1965,59,-1.0033564729992521
1985,60,-1.0107280121161049
1968,61,-1.2759756632379378
1954,62,-1.2782197304247547
1971,63,-1.3589999061291553
1982,64,-1.4450923379342955
1973,65,-1.4676943795799893
1956,66,-1.4864095407098348
1959,67,-1.5382887188144627
1966,68,-1.584452993819278
1975,69,-1.6702196668810478
1964,70,-1.7684934618508825
1951,71,-1.8138185303924574
1972,72,-2.097386972996795
1996,73,-2.122854814604122
1950,74,-2.3344349274567975
1955,75,-2.6863840276018665
