mon,mean,min,max,par,lin_trn_ann,lin_trn_pval_ann,sp_lin_trn1950,sp_lin_trn1980,ano_rnk_pos,yr
Jan,-3.98,-39.8,64.18,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
Feb,-14.98,-62.86,115.83,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
Mar,-40.51,-77.26,43.09,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
Apr,-0.91,-65.53,95.34,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
May,7.53,-70.88,104.64,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
Jun,12.31,-51.96,84.02,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
Jul,-20.57,-82.44,161.64,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
Aug,-14.76,-75.44,187.31,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
Sep,5.66,-78.09,118.13,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
Oct,8.38,-42.94,84.42,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
Nov,7.1,-43.09,125.42,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
Dec,14.32,-33.36,107.67,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
ann_2024,-2.73,-32.72,24.97,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
sp_trn_2024,0.01,-0.25,0.27,prcp,0,0.97,0.0029764024933661604,-0.029444883203673725,46,2024
