mon,mean,min,max,par,lin_trn_ann,lin_trn_pval_ann,sp_lin_trn1950,sp_lin_trn1980,ano_rnk_pos,yr
Jan,0.43,-23.18,19.47,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
Feb,3.68,-19.71,24.16,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
Mar,2.99,-15.83,17.54,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
Apr,-1.28,-20.92,15.75,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
May,-1.66,-24.68,18.44,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
Jun,0.47,-19.44,22.8,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
Jul,-7.12,-27.27,37.27,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
Aug,-6.3,-26.55,22.7,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
Sep,-3.6,-31.74,16.18,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
Oct,2.01,-29.11,28.03,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
Nov,1.01,-25.94,20.75,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
Dec,2.22,-24.78,26.9,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
ann_2024,-0.58,-22.37,15.88,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
sp_trn_2024,-0.01,-0.13,0.24,soil_moisture,-0.01,0.66,-0.00559605222037812,-0.0405590421500452,41,2024
